5889.7804	0.4188
5889.7875	0.4054
5889.7946	0.3904
5889.8016	0.3773
5889.8087	0.3598
5889.8158	0.3391
5889.8229	0.3183
5889.8299	0.2983
5889.837	0.2718
5889.8441	0.2448
5889.8511	0.2182
5889.8582	0.1903
5889.8653	0.1653
5889.8723	0.1445
5889.8794	0.1225
5889.8865	0.1062
5889.8935	0.0918
5889.9006	0.0799
5889.9077	0.071
5889.9147	0.0643
5889.9218	0.058567047
5889.9289	0.054391921
5889.9359	0.051672101
5889.943	0.0502
5889.9501	0.0505
5889.9571	0.0506
5889.9642	0.05
5889.9713	0.0504
5889.9783	0.0517
5889.9854	0.0547
5889.9925	0.0595
5889.9995	0.064
5890.0066	0.0697
5890.0137	0.0786
5890.0208	0.0887
5890.0278	0.1053
5890.0349	0.1214
5890.042	0.141
5890.049	0.1641
5890.0561	0.1905
5890.0632	0.2212
5890.0702	0.2505
5890.0773	0.2737
5890.0844	0.2977
5890.0914	0.3186
5890.0985	0.3383
5890.1056	0.3585
5890.1126	0.3766
5890.1197	0.3913
5890.1268	0.4055
5890.1338	0.4188
5890.1409	0.4307
5890.148	0.4401
5890.155	0.4501
5890.1621	0.461
5890.1692	0.4715
5890.1763	0.4803
5890.1833	0.49
5890.1904	0.4991
5890.1975	0.508
5890.2045	0.5161
5890.2116	0.5247
5890.2187	0.5343
5890.2257	0.5419
5890.2328	0.5491
5890.2399	0.5575
5890.2469	0.5658
5890.254	0.5748
5890.2611	0.5825
5890.2681	0.5897
5890.2752	0.5969
5890.2823	0.6029
5890.2893	0.6097
5890.2964	0.6195
5890.3035	0.6268
5890.3105	0.6341
5890.3176	0.6408
5890.3247	0.6473
5890.3318	0.654
5890.3388	0.661
5890.3459	0.6676
5890.353	0.6727
5890.36	0.6786
5890.3671	0.6845
5890.3742	0.6894
5890.3812	0.694
5890.3883	0.6985
5890.3954	0.7024
5890.4024	0.7065
5890.4095	0.7101
5890.4166	0.713
5890.4236	0.7153
5890.4307	0.717
5890.4378	0.7185
5890.4448	0.7208
5890.4519	0.7235
5890.459	0.7265
5890.4661	0.7289
5890.4731	0.731
5890.4802	0.7336
5890.4873	0.7369
5890.4943	0.7405
5890.5014	0.7452
5890.5085	0.7496
5890.5155	0.7559
5890.5226	0.7624
5890.5297	0.7688
5890.5367	0.7756
5890.5438	0.7818
5890.5509	0.7872
5890.5579	0.7935
5890.565	0.7994
5890.5721	0.8047
5890.5792	0.8099
5890.5862	0.815
5890.5933	0.8199
5890.6004	0.8234
5890.6074	0.8257
5890.6145	0.8284
5890.6216	0.8319
5890.6286	0.8362
5890.6357	0.8401
5890.6428	0.8429
5890.6498	0.8457
5890.6569	0.8478
5890.664	0.849
5890.671	0.8512
5890.6781	0.8544
5890.6852	0.8569
5890.6923	0.8583
5890.6993	0.86
5890.7064	0.8616
5890.7135	0.8631
5890.7205	0.866
5890.7276	0.8682
5890.7347	0.87
5890.7417	0.8728
5890.7488	0.8753
5890.7559	0.8764
5890.7629	0.8775
5890.77	0.879
5890.7771	0.88
5890.7841	0.8815
5890.7912	0.8836
5890.7983	0.8853
5890.8054	0.887
5890.8124	0.8887
5890.8195	0.8903
5890.8266	0.8921
5890.8336	0.8937
5890.8407	0.8957
5890.8478	0.8973
5890.8548	0.8987
5890.8619	0.9006
5890.869	0.9024
5890.876	0.9036
5890.8831	0.9044
5890.8902	0.9058
5890.8973	0.9068
5890.9043	0.9074
5890.9114	0.9081
5890.9185	0.9092
5890.9255	0.9105
5890.9326	0.9117
5890.9397	0.9127
5890.9467	0.914
5890.9538	0.915
5890.9609	0.9154
5890.9679	0.9158
5890.975	0.9165
5890.9821	0.9173
5890.9892	0.9179
5890.9962	0.9192
5891.0033	0.921
5891.0104	0.9226
5891.0174	0.9239
5891.0245	0.9248
5891.0316	0.9244
5891.0386	0.9243
5891.0457	0.9248
5891.0528	0.9243
5891.0598	0.9228
5891.0669	0.9213
5891.074	0.9194
5891.0811	0.9167
5891.0881	0.9129
5891.0952	0.9065
