-39.154,1
-38.792,0.9994
-38.433,0.9987
-38.071,0.9979
-37.713,0.9975
-37.355,0.998
-36.993,0.9983
-36.634,0.9976
-36.272,0.9969
-35.914,0.9968
-35.556,0.9966
-35.194,0.9966
-34.835,0.9971
-34.477,0.9975
-34.115,0.9975
-33.757,0.9974
-33.395,0.9974
-33.036,0.9983
-32.678,0.999
-32.316,0.9982
-31.958,0.998
-31.6,0.9982
-31.237,0.9981
-30.879,0.9987
-30.517,0.9992
-30.159,0.9994
-29.801,0.9997
-29.438,0.9992
-29.08,0.9988
-28.722,0.9992
-28.36,1
-28.002,1.0005
-27.639,1
-27.281,1.0008
-26.923,1.004
-26.561,1.0066
-26.203,1.0074
-25.844,1.007
-25.482,1.0063
-25.124,1.0043
-24.762,1.0019
-24.404,1.0007
-24.045,0.9998
-23.683,0.9988
-23.325,0.9992
-22.963,0.999
-22.605,0.9984
-22.246,0.9982
-21.884,0.998
-21.526,0.9977
-21.168,0.9978
-20.806,0.9981
-20.447,0.9976
-20.085,0.9965
-19.727,0.9969
-19.369,0.9981
-19.007,0.9981
-18.648,0.9969
-18.29,0.9954
-17.928,0.9946
-17.57,0.9951
-17.208,0.9956
-16.849,0.9952
-16.491,0.9943
-16.129,0.9935
-15.771,0.9938
-15.409,0.994
-15.05,0.9929
-14.692,0.9921
-14.33,0.9915
-13.972,0.9901
-13.614,0.9889
-13.251,0.988
-12.893,0.9878
-12.531,0.9881
-12.173,0.9872
-11.815,0.9855
-11.452,0.9838
-11.094,0.9824
-10.732,0.9808
-10.374,0.9786
-10.016,0.9763
-9.6534,0.9731
-9.2952,0.969
-8.9369,0.9651
-8.5748,0.9606
-8.2165,0.9552
-7.8544,0.9475
-7.4962,0.9364
-7.1379,0.9252
-6.7758,0.9129
-6.4175,0.8976
-6.0554,0.8788
-5.6972,0.8554
-5.3389,0.8263
-4.9768,0.7927
-4.6186,0.7499
-4.2603,0.709
-3.8982,0.6515
-3.5399,0.5963
-3.1778,0.5385
-2.8196,0.4794
-2.4613,0.4203
-2.0992,0.3639
-1.7409,0.312
-1.3788,0.2694
-1.0206,0.238
-0.66232,0.2143
-0.30018,0.1989
0.05806,0.1933
0.4163,0.1978
0.77844,0.2115
1.1367,0.2357
1.4988,0.2705
1.8571,0.3138
2.2153,0.3721
2.5774,0.435
2.9357,0.498
3.2978,0.5631
3.6561,0.6253
4.0143,0.6806
4.3764,0.7303
4.7347,0.7737
5.0968,0.8134
5.455,0.8422
5.8133,0.871
6.1754,0.892
6.5337,0.9082
6.8919,0.9235
7.254,0.9351
7.6123,0.9444
7.9744,0.9524
8.3327,0.9588
8.6909,0.9642
9.053,0.9693
9.4113,0.9735
9.7734,0.9764
10.132,0.979
10.49,0.9815
10.852,0.9834
11.21,0.9848
11.572,0.9861
11.931,0.9869
12.289,0.9875
12.651,0.989
13.009,0.9909
13.371,0.9921
13.73,0.9916
14.088,0.9909
14.45,0.9914
14.808,0.992
15.167,0.9926
15.529,0.9936
15.887,0.9935
16.249,0.9928
16.607,0.9929
16.966,0.9934
17.328,0.9935
17.686,0.9935
18.048,0.994
18.406,0.9944
18.765,0.9948
19.127,0.9967
19.485,0.9978
19.847,0.9973
20.205,0.9986
20.564,0.9999
20.926,0.9981
21.284,0.9957
21.646,0.9962
22.004,0.9967
22.363,0.9964
22.725,0.996
23.083,0.9963
23.445,0.9971
23.803,0.9977
24.161,0.9972
24.524,0.9956
24.882,0.9942
25.24,0.9938
25.602,0.9937
25.96,0.9925
26.323,0.9919
26.681,0.9923
27.039,0.9922
27.401,0.9919
27.759,0.992
28.122,0.9925
28.48,0.9934
28.838,0.9944
29.2,0.9943
29.558,0.9943
29.921,0.995
30.279,0.996
30.637,0.9974
30.999,0.9987
31.357,0.9989
31.72,0.9991
32.078,1
32.436,1.0004
32.798,1.0004
33.156,1.0006
33.519,1.0005
33.877,1.0001
34.235,0.9999
34.597,1
34.955,1.0003
35.318,1.0008
35.676,1.0012
36.034,1.0007
36.396,1.0003
36.754,1.0005
37.117,1.0009
37.475,1.0009
37.833,1.0007
38.195,1.0007
38.553,1.001
38.916,1.0011
